timestamp,xRequestId,matchPath,method,status,path,userAgent
"Feb 22, 2024 @ 21:03:57.611","d6d8f340-d182-11ee-9c29-61a5292d5039","/v21/users/me/rents/:id(\d+)$",DELETE,200,"/v21/users/me/rents/45373355","WeMoScooter/4.8.0 (Android 13; Manufacturer: samsung, MarketName: SM-G9910, Model: SM-G9910, Codename: o1q, DeviceName: SM-G9910)"
"Feb 22, 2024 @ 21:03:48.962","d1ae0360-d182-11ee-bbad-81b26904e1da","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373406","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone15Pro)"
"Feb 22, 2024 @ 21:03:40.523","c7b007a0-d182-11ee-9c29-61a5292d5039","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373395","WeMoScooter/4.16.1 (iOS 16.1; iPhone11)"
"Feb 22, 2024 @ 21:03:24.938","c357aa00-d182-11ee-9c29-61a5292d5039","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373452","WeMoScooter/4.15.0 (iOS 17.2.1; iPhone11)"
"Feb 22, 2024 @ 21:03:24.937","c35d7660-d182-11ee-bbad-81b26904e1da","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373311","WeMoScooter/4.16.1 (iOS 16.7.2; iPhone12ProMax)"
"Feb 22, 2024 @ 21:03:18.927","bf9ec0b0-d182-11ee-a3f7-2fe733b2cc84","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373386","WeMoScooter/4.16.1 (Android 14; Manufacturer: Google, MarketName: Pixel 6A, Model: Pixel 6a, Codename: bluejay, DeviceName: Pixel 6A)"
"Feb 22, 2024 @ 21:03:15.981","be038740-d182-11ee-b9f9-e703d98fd1ab","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373338","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13ProMax)"
"Feb 22, 2024 @ 21:02:42.389","aa025fa0-d182-11ee-9c29-61a5292d5039","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373384","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone15Pro)"
"Feb 22, 2024 @ 21:02:33.195","a4833540-d182-11ee-9c29-61a5292d5039","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373296","WeMoScooter/4.15.0 (iOS 17.3.1; iPhone11)"
"Feb 22, 2024 @ 21:02:17.489","9b2c27e0-d182-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373443","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13)"
"Feb 22, 2024 @ 21:01:49.008","89e00e20-d182-11ee-bd63-ed5d67962b50","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373390","WeMoScooter/4.15.0 (iOS 15.6.1; iPhone8Plus)"
"Feb 22, 2024 @ 21:01:42.758","8677b5d0-d182-11ee-bd63-ed5d67962b50","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373345","WeMoScooter/4.15.0 (iOS 17.2.1; iPhone14)"
"Feb 22, 2024 @ 21:01:39.689","84a280a0-d182-11ee-a22f-1ba4c6f85202","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373284","WeMoScooter/4.16.1 (Android 14; Manufacturer: samsung, MarketName: SM-A5460, Model: SM-A5460, Codename: a54x, DeviceName: SM-A5460)"
"Feb 22, 2024 @ 21:01:32.131","80218c60-d182-11ee-94c3-1120e9b28dc9","/v21/users/me/rents/:id(\d+)$",DELETE,200,"/v21/users/me/rents/45373371","WeMoScooter/4.8.0 (iOS 17.2; iPhone11)"
"Feb 22, 2024 @ 21:01:19.666","77a3a0f0-d182-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373285","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone15ProMax)"
"Feb 22, 2024 @ 21:01:07.983","71c3b8f0-d182-11ee-94c3-1120e9b28dc9","/v22/users/me/rents/:id(\d+)$",DELETE,404,"/v22/users/me/rents/45373022","WeMoScooter/4.14.0 (iOS 16.1.1; iPhone13)"
"Feb 22, 2024 @ 21:00:44.964","640336f0-d182-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373389","WeMoScooter/4.16.1 (iOS 17.1.2; iPhone14ProMax)"
"Feb 22, 2024 @ 21:00:02.764","4ad87f00-d182-11ee-bd63-ed5d67962b50","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373271","WeMoScooter/4.16.1 (iOS 17.0.3; iPhone11)"
"Feb 22, 2024 @ 20:59:49.576","42faf240-d182-11ee-9c29-61a5292d5039","/v22/users/me/rents/:id(\d+)$",DELETE,200,"/v22/users/me/rents/45373398","WeMoScooter/4.11.1 (iOS 17.1.1; iPhone12)"
"Feb 22, 2024 @ 20:59:48.039","421721f0-d182-11ee-9c29-61a5292d5039","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373298","WeMoScooter/4.16.1 (iOS 16.1.1; iPhone11)"
"Feb 22, 2024 @ 20:59:41.635","3e4b4ce0-d182-11ee-a4fc-1772698914a7","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45373048","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone12ProMax)"
"Feb 22, 2024 @ 20:58:56.481","23476820-d182-11ee-9c29-61a5292d5039","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373391","WeMoScooter/4.16.1 (iOS 16.1; iPhone11)"
"Feb 22, 2024 @ 20:58:51.597","2072c450-d182-11ee-8106-cdc15315ccc3","/v21/users/me/rents/:id(\d+)$",DELETE,200,"/v21/users/me/rents/45373330","WeMoScooter/4.8.0 (iOS 15.5; iPhone8)"
"Feb 22, 2024 @ 20:58:44.961","1c7d9550-d182-11ee-a7f5-5ffdfbacedec","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373310","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone11)"
"Feb 22, 2024 @ 20:58:30.063","139b1bb0-d182-11ee-aca4-db141d948610","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373252","WeMoScooter/4.16.1 (iOS 17.3.1; iPhone15Pro)"
"Feb 22, 2024 @ 20:58:24.358","0f1df800-d182-11ee-a3f7-2fe733b2cc84","/v22/users/me/rents/:id(\d+)$",DELETE,200,"/v22/users/me/rents/45373281","WeMoScooter/4.13.1 (iOS 16.1.1; unrecognized)"
"Feb 22, 2024 @ 20:58:20.473","0de3a340-d182-11ee-b9f9-e703d98fd1ab","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373230","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13Pro)"
"Feb 22, 2024 @ 20:58:04.702","0464e9a0-d182-11ee-bbad-81b26904e1da","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373265","WeMoScooter/4.16.1 (iOS 16.6; iPhone13)"
"Feb 22, 2024 @ 20:58:04.041","0418ec80-d182-11ee-a22f-1ba4c6f85202","/v22/users/me/rents/:id(\d+)$",DELETE,200,"/v22/users/me/rents/45373208","WeMoScooter/4.11.1 (iOS 17.1.1; iPhone14ProMax)"
"Feb 22, 2024 @ 20:57:50.804","fc34a900-d181-11ee-8106-cdc15315ccc3","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373203","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone15)"
"Feb 22, 2024 @ 20:57:37.635","f45bb020-d181-11ee-94c3-1120e9b28dc9","/v21/users/me/rents/:id(\d+)$",DELETE,200,"/v21/users/me/rents/45373153","WeMoScooter/4.8.0 (iOS 17.2; iPhone11)"
"Feb 22, 2024 @ 20:57:35.374","f301c570-d181-11ee-a4fc-1772698914a7","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373280","WeMoScooter/4.16.1 (Android 13; Manufacturer: Google, MarketName: Pixel 6, Model: Pixel 6, Codename: oriole, DeviceName: Pixel 6)"
"Feb 22, 2024 @ 20:57:17.294","e83926b0-d181-11ee-b9f9-e703d98fd1ab","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45373112","WeMoScooter/4.16.1 (iOS 15.6.1; iPhoneSE2)"
"Feb 22, 2024 @ 20:57:17.215","e8377900-d181-11ee-a7f5-5ffdfbacedec","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45373112","WeMoScooter/4.16.1 (iOS 15.6.1; iPhoneSE2)"
"Feb 22, 2024 @ 20:57:17.214","e837c720-d181-11ee-94c3-1120e9b28dc9","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45373112","WeMoScooter/4.16.1 (iOS 15.6.1; iPhoneSE2)"
"Feb 22, 2024 @ 20:57:17.191","e832e520-d181-11ee-8c41-6bbbb8286874","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45373112","WeMoScooter/4.16.1 (iOS 15.6.1; iPhoneSE2)"
"Feb 22, 2024 @ 20:57:17.190","e832be10-d181-11ee-a7f5-5ffdfbacedec","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45373112","WeMoScooter/4.16.1 (iOS 15.6.1; iPhoneSE2)"
"Feb 22, 2024 @ 20:57:08.597","e30c3b00-d181-11ee-bbad-81b26904e1da","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373214","WeMoScooter/4.16.1 (iOS 16.6.1; iPhoneSE2)"
"Feb 22, 2024 @ 20:57:08.248","e2de4d30-d181-11ee-b9f9-e703d98fd1ab","/v23/users/me/rents/:id(\d+)$",DELETE,404,"/v23/users/me/rents/45373128","WeMoScooter/4.15.0 (Android 12; Manufacturer: samsung, MarketName: SM-N9750, Model: SM-N9750, Codename: d2q, DeviceName: SM-N9750)"
"Feb 22, 2024 @ 20:57:05.956","e16b5c40-d181-11ee-a3f7-2fe733b2cc84","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45373186","WeMoScooter/4.15.0 (Android 13; Manufacturer: asus, MarketName: ASUS_AI2201_F, Model: ASUS_AI2201_F, Codename: ASUS_AI2201, DeviceName: ASUS_AI2201_F)"
"Feb 22, 2024 @ 20:56:59.149","dd6b57d0-d181-11ee-a7f5-5ffdfbacedec","/v21/users/me/rents/:id(\d+)$",DELETE,200,"/v21/users/me/rents/45373145","WeMoScooter/4.8.0 (Android 13; Manufacturer: samsung, MarketName: SM-G9910, Model: SM-G9910, Codename: o1q, DeviceName: SM-G9910)"
